Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
CLLS,Cellectis ADR,Healthcare,Biotechnology,France,98530000.0,,1.37,-0.044000000000000004,52598.0
CLPR,Clipper Realty Inc,Real Estate,REIT - Residential,USA,63940000.0,,3.96,0.0154,34715.0
CLSD,Clearside Biomedical Inc,Healthcare,Biotechnology,USA,62780000.0,,0.81,-0.0002,101385.0
CLST,Catalyst Bancorp Inc,Financial,Banks - Regional,USA,51000000.0,22.15,12.2,-0.0073,16743.0
CLYM,Climb Bio Inc,Healthcare,Biotechnology,USA,86500000.0,,1.28,0.0159,135708.0
CMDB,Costamare Bulkers Holdings Ltd,Industrials,Marine Shipping,Monaco,250020000.0,,10.33,-0.0039000000000000003,108339.0
CMT,Core Molding Technologies,Basic Materials,Specialty Chemicals,USA,149990000.0,12.5,16.68,0.0079,14110.0
CMTL,Comtech Telecommunications Corp,Technology,Communication Equipment,USA,61440000.0,,2.09,-0.0435,234186.0
CMU,MFS High Yield Municipal Trust,Financial,Closed-End Fund - Debt,USA,85780000.0,6.87,3.37,0.003,16917.0
CNTX,Context Therapeutics Inc,Healthcare,Biotechnology,USA,58540000.0,,0.65,0.0521,268756.0
CNTY,Century Casinos Inc,Consumer Cyclical,Resorts & Casinos,USA,65050000.0,,2.12,-0.0493,44583.0
CNVS,Cineverse Corp,Communication Services,Entertainment,USA,61360000.0,,3.84,-0.0204,64995.0
CODA,Coda Octopus Group Inc,Industrials,Aerospace & Defense,USA,79850000.0,20.44,7.11,0.0128,40522.0
COE,51 Talk Online Education Group ADR,Consumer Defensive,Education & Training Services,Singapore,113160000.0,,27.4,-0.1104,30872.0
COHN,Cohen & Company Inc,Financial,Capital Markets,USA,222390000.0,,8.22,0.0070999999999999995,1489.0
COLA,Columbus Acquisition Corp,Financial,Shell Companies,Singapore,80190000.0,,10.1,0.001,1201.0
COOK,Traeger Inc,Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,255100000.0,,1.88,0.0805,435387.0
COPL,Copley Acquisition Corp,Financial,Shell Companies,Hong Kong,179660000.0,,10.02,0.0,109491.0
COYA,Coya Therapeutics Inc,Healthcare,Biotechnology,USA,89840000.0,,5.37,-0.0462,181021.0
